Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Maurice Baker,Illinors,Black,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University
Vin Baker,Florida,Black,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford
Renaldo Balkman,New York,Black,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina
Cedric Ball,Massachusetts,Black,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte
Greg Ballard,California,Black,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon
Gene Banks,Pennsylvania,Black,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University
Marcus Banks,Nevada,Black,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas"
Ken Bannister,Maryland,Black,1985,1991,F-C,6-9,235,"April 1, 1960",Saint Augustine's College
Leandro Barbosa,Brazil,Black,2004,2016,G,6-3,194,"November 28, 1982",
Steve Bardo,Kentucky,Black,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign
J.J. Barea,Puerto Rico,White,2007,2016,G,6-0,185,"June 26, 1984",Northeastern University
Andrea Bargnani,Italy,White,2007,2016,F-C,7-0,245,"October 26, 1985",
Charles Barkley*,Alabama,Black,1985,2000,F,6-6,252,"February 20, 1963",Auburn University
Erick Barkley,New York,Black,2001,2002,G,6-1,177,"February 21, 1978",St. John's University
Harrison Barnes,Iowa,Black,2013,2016,F,6-8,210,"May 30, 1992",University of North Carolina
Matt Barnes,California,Black and White,2004,2016,F,6-7,226,"March 9, 1980","University of California, Los Angeles"
Andre Barrett,New York,Black,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University
Earl Barron,Mississippi,Black,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis
Dana Barros,Massachusetts,Black,1990,2004,G,5-11,163,"April 13, 1967",Boston College
Brent Barry,New York,Black and White,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University
Drew Barry,California,Black,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology
Jon Barry,California,Black and White,1993,2006,G,6-4,195,"July 25, 1969",Georgia Institute of Technology
Will Barton,Maryland,Black and White,2013,2016,G,6-6,175,"January 6, 1991",University of Memphis
Eddie Basden,New York,Black,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte
Brandon Bass,Louisiana,Black,2006,2016,F,6-8,250,"April 30, 1985",Louisiana State University
Maceo Baston,Texas,Black,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan
Mengke Bateer,China,Others,2002,2004,C,6-11,290,"November 20, 1975",
Esteban Batista,Uruguay,Black and White,2006,2007,F-C,6-10,270,"September 2, 1983",
Mike Batiste,California,Black,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University
Tony Battie,Texas,Black,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University
Shane Battier,Michigan,Black and White,2002,2014,F,6-8,220,"September 9, 1978",Duke University
John Battle,District of Columbia,Black,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University
Kenny Battle,Illinois,Black,1990,1993,F,6-6,210,"October 10, 1964",University of Illinois at Urbana-Champaign
Nicolas Batum,France,White,2009,2016,F-G,6-8,200,"December 14, 1988",
Lonny Baxter,Maryland,Black,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland
Jerryd Bayless,Arizona,Black,2009,2016,G,6-3,200,"August 20, 1988",University of Arizona
Aron Baynes,New Zealand,White,2013,2016,F-C,6-10,260,"December 9, 1986",Washington State University
Sergei Bazarevich,Russia,White,1995,1995,G,6-2,168,"March 16, 1965",
Kent Bazemore,North Carolina,Black,2013,2016,G-F,6-5,201,"July 1, 1989",Old Dominion University
Bradley Beal,Missouri,Black,2013,2016,G,6-5,207,"June 28, 1993",University of Florida
Jerome Beasley,California,Black,2004,2004,F,6-10,237,"May 17, 1980",University of North Dakota
Michael Beasley,Maryland,Black,2009,2016,F,6-9,235,"January 9, 1989",Kansas State University
Rodrigue Beaubois,France,Black,2010,2013,G,6-0,170,"February 24, 1988",
Corey Beck,Tennessee,Black,1996,1999,G,6-1,190,"May 27, 1971",University of Arkansas
William Bedford,Tennessee,Black,1987,1993,C,7-0,225,"December 14, 1963",University of Memphis
Marco Belinelli,Italy,White,2008,2016,G-F,6-5,210,"March 25, 1986",
Charlie Bell,Michigan,Black,2002,2011,G,6-3,200,"March 12, 1979",Michigan State University
Raja Bell,North America,Black,2001,2012,G,6-5,204,"September 19, 1976",Florida International University
Troy Bell,Minnesota,White,2004,2004,G,6-1,180,"November 10, 1980",Boston College
Jonathan Bender,Mississippi,Black,2000,2010,F,6-11,202,"January 30, 1981",
Jerrelle Benimon,Virginia,Black,2015,2015,F,6-8,245,"August 1, 1991",Towson University
Benoit Benjamin,Louisiana,Black,1986,2000,C,7-0,250,"November 22, 1964",Creighton University
Corey Benjamin,California,Black,1999,2003,G,6-6,200,"February 24, 1978",Oregon State University
Anthony Bennett,Canada,Black,2014,2016,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas"
Elmer Bennett,Illinois,Black,1995,1997,G,6-0,170,"February 13, 1970",University of Notre Dame
Mario Bennett,Texas,Black,1996,2000,F,6-6,235,"August 1, 1973",Arizona State University
Tony Bennett,Wisconsin,Black,1993,1995,G,6-0,175,"June 1, 1969",University of Wisconsin-Green Bay
Winston Bennett,Kentucky,Black,1990,1992,F,6-7,210,"February 9, 1965",University of Kentucky
David Benoit,Louisiana,Black,1992,2001,F,6-8,220,"May 9, 1968",University of Alabama
Keith Benson,Ohio,Black,2012,2012,C,6-11,240,"August 13, 1988",Oakland University
Kent Benson,Louisiana,Black,1978,1988,C,6-10,235,"December 27, 1954",Indiana University
Ricky Berry,Michigan,Black,1989,1989,F,6-8,205,"October 6, 1964",San Jose State University
Walter Berry,New York,Black,1987,1989,F,6-8,215,"May 14, 1964",St. John's University
Travis Best,Massachusetts,Black,1996,2005,G,5-11,182,"July 12, 1972",Georgia Institute of Technology
Patrick Beverley,Illinois,Black,2013,2016,G,6-1,185,"July 12, 1988",University of Arkansas
Sim Bhullar,Canada,Black and White,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State University
Mike Bibby,New Jersey,White,1999,2012,G,6-1,190,"May 13, 1978",University of Arizona
Andris Biedrins,Latvia,White,2005,2014,C,6-11,240,"April 2, 1986",
Chauncey Billups,Colorado,Black,1998,2014,G,6-3,202,"September 25, 1976",University of Colorado
Joe Binion,New York,Black,1987,1987,F,6-8,235,"March 26, 1961",North Carolina Agricultural and Technical State University
Larry Bird*,Indiana,White,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University
Otis Birdsong,Florida,Black,1978,1989,G,6-3,190,"December 9, 1955",University of Houston
Bismack Biyombo,Congo,Black,2012,2016,C-F,6-9,245,"August 28, 1992",
Nemanja Bjelica,serbia,White,2016,2016,F,6-10,240,"May 9, 1988",
Uwe Blab,Germany,White,1986,1990,C,7-1,252,"March 26, 1962",Indiana University
Tarik Black,Tennessee,Black,2015,2016,C-F,6-9,250,"November 22, 1991",University of Kansas
Rolando Blackman,Panama,Black,1982,1994,G,6-6,190,"February 26, 1959",Kansas State University
Alex Blackwell,New Jersey,Black,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University
Cory Blackwell,Illinois,Black,1985,1985,F,6-6,210,"March 27, 1963",University of Wisconsin
James Blackwell,New York,Black,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College
Nate Blackwell,Pennsylvania,Black,1988,1988,G,6-4,170,"February 15, 1965",Temple University
DeJuan Blair,Pennsylvania,Black,2010,2016,F-C,6-7,270,"April 22, 1989",University of Pittsburgh
Steve Blake,Florida,White,2004,2016,G,6-3,172,"February 26, 1980",University of Maryland
Will Blalock,Massachusetts,Black,2007,2007,G,6-0,205,"September 8, 1983",Iowa State University
Lance Blanks,Texas,Black,1991,1993,G,6-4,190,"September 9, 1966",University of Texas at Austin
Ricky Blanton,Florida,Black,1993,1993,F,6-7,215,"April 21, 1966",Louisiana State University
Andray Blatche,New York,Black,2006,2014,F,6-11,235,"August 22, 1986",
Mookie Blaylock,Texas,Black,1990,2002,G,6-0,180,"March 20, 1967",University of Oklahoma
Eric Bledsoe,Alabama,Black,2011,2016,G,6-1,190,"December 9, 1989",University of Kentucky
Corie Blount,California,Black,1994,2004,F,6-9,240,"January 4, 1969",University of Cincinnati
Mark Blount,New York,Black,2001,2009,C,7-0,230,"November 30, 1975",University of Pittsburgh
Vander Blue,Wisconsin,Black,2014,2015,G,6-4,200,"July 17, 1992",Marquette University
Tony Bobbitt,Florida,Black,2005,2005,G,6-4,190,"October 22, 1979",University of Cincinnati
Keith Bogans,Virginia,Black,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky
Bojan Bogdanovic,Bosnia and Herzegovina,White,2015,2016,G-F,6-8,216,"April 18, 1989",
Muggsy Bogues,Maryland,Black,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest University
Andrew Bogut,Australia,White,2006,2016,C,7-0,260,"November 28, 1984",University of Utah
Etdrick Bohannon,California,Black,1998,2001,F,6-9,220,"May 29, 1973",Auburn University at Montgomery
Manute Bol,sultan,Black,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport
Walter Bond,Illinois,Black,1993,1995,G,6-5,200,"February 1, 1969",University of Minnesota
Dexter Boney,Delaware,Black,1997,1997,G,6-4,185,"April 27, 1970","University of Nevada, Las Vegas"
Anthony Bonner,Missouri,Black,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis University
Matt Bonner,New Hampshire,White,2005,2016,F,6-10,235,"April 5, 1980",University of Florida
Devin Booker,Michigan,White,2016,2016,G,6-6,206,"October 30, 1996",University of Kentucky
Melvin Booker,Mississippi,Black and White,1996,1997,G,6-1,185,"August 20, 1972",University of Missouri
Trevor Booker,South Carolina,Black,2011,2016,F,6-8,228,"November 25, 1987",Clemson University
Josh Boone,Maryland,White,2007,2010,F-C,6-10,237,"November 21, 1984",University of Connecticut
Calvin Booth,Ohio,Black,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University
Keith Booth,Maryland,Black,1998,1999,F,6-6,226,"October 9, 1974",University of Maryland
Carlos Boozer,Germany,Black,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University
Curtis Borchardt,New York,Black,2004,2005,C,7-0,240,"September 13, 1980",Stanford University
Lazaro Borrell,Cuba,Black,2000,2000,F,6-8,220,"September 20, 1972",
Chris Bosh,Texas,Black,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology
Ruben Boumtje-Boumtje,Cameroon,Black,2002,2004,C,7-0,257,"May 20, 1978",Georgetown University
Cal Bowdler,Virginia,Black,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion University
Bruce Bowen,California,Black,1997,2009,F,6-7,185,"June 14, 1971","California State University, Fullerton"
Ryan Bowen,Iowa,Black,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa
Anthony Bowie,Oklahoma,Black,1989,1998,G-F,6-6,190,"November 9, 1963",University of Oklahoma
Sam Bowie,Pennsylvania,Black and White,1985,1995,C-F,7-1,235,"March 17, 1961",University of Kentucky
Ira Bowman,New Jersey,Black,2000,2002,G,6-5,195,"June 11, 1973",University of Pennsylvania
Donnie Boyce,Illinois,Black,1996,1997,G,6-5,196,"September 2, 1973",University of Colorado
Earl Boykins,Ohio,Black,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan University
Cedric Bozeman,California,Black,2007,2007,G,6-6,207,"March 7, 1983","University of California, Los Angeles"
Craig Brackins,California,Black,2011,2012,F,6-10,230,"October 9, 1987",Iowa State University
Avery Bradley,Washington,Black,2011,2016,G,6-2,180,"November 26, 1990",University of Texas at Austin
Dudley Bradley,Maryland,Black,1980,1989,G-F,6-6,195,"March 19, 1957",University of North Carolina
Michael Bradley,Massachusetts,Black,2002,2006,F,6-10,245,"April 18, 1979",Villanova University
Shawn Bradley,Germany,White,1994,2005,C,7-6,235,"March 22, 1972",Brigham Young University
Mark Bradtke,Australia,White,1997,1997,C-F,6-10,265,"September 27, 1968",
Marques Bragg,New Jersey,Black,1996,1996,F,6-8,230,"March 24, 1970",Providence College
Torraye Braggs,California,Black,2004,2005,F,6-8,245,"May 15, 1976",Xavier University
A.J. Bramlett,Illinois,Black,2000,2000,C,6-10,227,"January 10, 1977",University of Arizona
Adrian Branch,Washington,Black,1987,1990,F-G,6-7,185,"November 17, 1963",University of Maryland
Elton Brand,New York,Black,2000,2016,F,6-8,275,"March 11, 1979",Duke University
Terrell Brandon,Oregon,Black,1992,2002,G,5-11,180,"May 20, 1970",University of Oregon
Mike Bratz,California,Black,1978,1986,G,6-2,185,"October 17, 1955",Stanford University
Tim Breaux,Louisiana,Black,1995,1998,F,6-7,215,"September 19, 1970",University of Wyoming
J.R. Bremer,Ohio,Black,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure University
Randy Breuer,Minnesota,Black,1984,1994,C,7-3,230,"October 11, 1960",University of Minnesota
Corey Brewer,Tennessee,Black,2008,2016,F-G,6-9,186,"March 5, 1986",University of Florida
Jamison Brewer,Georgia,Black,2002,2005,G,6-4,184,"November 19, 1980",Auburn University
Ron Brewer,Arkansas,Black,1979,1986,G,6-4,180,"September 16, 1955",University of Arkansas
Ronnie Brewer,Oregon,Black,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas
Primoz Brezec,Slovenia,White,2002,2010,C,7-2,252,"October 2, 1979",
Frank Brickowski,New York,White,1985,1997,F-C,6-9,240,"August 14, 1959",Pennsylvania State University
Junior Bridgeman,Indiana,Black,1976,1987,F-G,6-5,210,"September 17, 1953",University of Louisville
Mike Brittain,Florida,Black,1986,1987,C,7-0,235,"June 21, 1963",University of South Carolina
Jon Brockman,Washington,Black and White,2010,2012,F,6-7,255,"March 20, 1987",University of Washington
Aaron Brooks,Washington,Black,2008,2016,G,6-0,161,"January 14, 1985",University of Oregon
Kevin Brooks,South Carolina,Black,1992,1994,F,6-6,200,"October 12, 1969",University of Louisiana at Lafayette
MarShon Brooks,New Jersey,Black,2012,2014,G-F,6-5,200,"January 26, 1989",Providence College
Michael Brooks,Pennsylvania,Black,1981,1988,F,6-7,220,"August 17, 1958",La Salle University
Scott Brooks,California,Black,1989,1998,G,5-11,165,"July 31, 1965","University of California, Irvine"
Andre Brown,Illinois,Black,2007,2009,F,6-9,245,"May 12, 1981",DePaul University
Anthony Brown,California,Black,2016,2016,F,6-7,210,"October 10, 1992",Stanford University
Bobby Brown,California,Black,2009,2010,G,6-2,175,"September 24, 1984","California State University, Fullerton"
Chucky Brown,New York,Black,1990,2002,F,6-7,214,"February 29, 1968",North Carolina State University
Damone Brown,New York,Black,2002,2005,F,6-9,200,"June 28, 1979",Syracuse University
Dee Brown,Florida,Black,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University
Dee Brown,Mississippi,Black,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign
Derrick Brown,California,Black,2010,2012,F,6-7,225,"September 8, 1987",Xavier University
Devin Brown,Utah,Black,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio
Ernest Brown,New York,Black,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College
Gerald Brown,California,Black,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine University
Jabari Brown,California,Black,2015,2015,G,6-4,215,"December 18, 1992",University of Missouri
Kedrick Brown,Louisiana,Black,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College
Kwame Brown,South Carolina,Black,2002,2013,F,6-11,270,"March 10, 1982",
Lorenzo Brown,Georgia,Black,2014,2016,G,6-5,189,"August 26, 1990",North Carolina State University
Marcus Brown,Arkansas,Black,1997,2000,G,6-3,185,"April 3, 1974",Murray State University
Markel Brown,Louisiana,Black,2015,2016,G,6-3,190,"January 29, 1992",Oklahoma State University
Mike Brown,New Jersey,Black,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington University
Myron Brown,Pennsylvania,Black,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania
P.J. Brown,Michigan,Black,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech University
Randy Brown,Illinois,Black,1992,2003,G,6-2,190,"May 22, 1968",New Mexico State University
Raymond Brown,Georgia,Black,1990,1990,F,6-8,220,"July 5, 1965",University of Idaho
Rickey Brown,Mississippi,Black,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State University
Shannon Brown,Illinois,Black,2007,2015,G,6-4,205,"November 29, 1985",Michigan State University
Tierre Brown,Louisiana,Black,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University
Tony Brown,Illinois,Black,1985,1992,F-G,6-6,185,"July 29, 1960",University of Arkansas
Stanley Brundy,Louisiana,Black,1990,1990,F,6-6,210,"November 13, 1967",DePaul University
Rick Brunson,New York,Black,1998,2006,G,6-4,190,"June 14, 1972",Temple University
Kobe Bryant,Pennsylvania,Black,1997,2016,G-F,6-6,212,"August 23, 1978",
